TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TASA3;14,97;9,32;8,20;1,71;0,87;38,11;17,69;11,80;5,47;6,48;1,04;0,33;0,97;3,89;-2,12;1,62;20,87;10,66;14,49;0,51;0,49;0,90;29,58;;281.130,37;8,75;1,83;-0,13;1.887.019.882,40
TASA4;14,91;9,36;8,16;1,70;0,87;38,11;17,69;11,80;5,44;6,48;1,04;0,33;0,96;3,87;-2,11;1,62;20,87;10,66;14,49;0,51;0,49;0,90;29,58;;4.737.252,87;8,75;1,83;-0,13;1.887.019.882,40
TCNO3;1,20;;-7,52;-8,40;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,28;6.451.072,50
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,20;6.451.072,50
TCSA3;3,44;;15,33;0,43;0,16;13,97;8,98;4,08;6,97;21,78;14,91;0,92;0,63;0,48;-0,34;2,97;2,79;1,07;1,99;0,38;0,62;0,26;-5,08;;735.809,43;8,03;0,22;-0,13;249.569.189,70
TECN3;3,59;2,28;4,82;0,67;0,39;55,00;17,30;15,45;4,30;4,00;-0,30;-0,05;0,74;0,78;-1,12;4,30;13,89;8,11;11,06;0,58;0,42;0,52;0,65;;407.261,33;5,36;0,74;0,11;254.553.311,85
TEKA3;8,23;;-0,03;0,00;0,00;19,20;-34,33;-52,84;-0,04;-5,61;-5,52;;0,01;0,00;0,00;0,04;-7,43;-13,24;6,67;-1,78;2,78;0,25;15,05;;;-4.039,83;-299,99;0,00;9.119.279,65
TEKA4;23,08;;-0,08;-0,01;0,01;19,20;-34,33;-52,84;-0,12;-5,61;-5,52;;0,04;0,00;-0,01;0,04;-7,43;-13,24;6,67;-1,78;2,78;0,25;15,05;;130.023,26;-4.039,83;-299,99;0,00;9.119.279,65
TELB3;15,21;;-19,35;0,83;0,32;-49,89;-3,91;-17,09;-84,53;-7,83;72,79;-0,71;3,31;1,02;-0,54;4,96;-4,28;-1,68;-0,91;0,39;0,61;0,10;36,54;;67.558,15;18,37;-0,79;0,35;1.253.142.078,60
TELB4;11,91;;-15,15;0,65;0,25;-49,89;-3,91;-17,09;-66,19;-7,83;72,79;-0,71;2,59;0,80;-0,42;4,96;-4,28;-1,68;-0,91;0,39;0,61;0,10;36,54;;117.941,03;18,37;-0,79;0,27;1.253.142.078,60
TEND3;10,08;;-28,40;1,83;0,30;20,36;3,26;-6,71;58,49;94,20;35,71;1,12;1,90;6,28;-0,52;1,12;-6,46;-1,05;0,49;0,16;0,84;0,16;-17,27;;51.566.557,87;5,50;-0,35;0,31;1.240.789.999,68
TESA3;48,00;;-13,30;1,62;0,52;15,86;9,39;-7,58;10,73;17,39;6,66;1,01;1,01;-11,10;-0,74;0,86;-12,18;-3,94;3,93;0,32;0,68;0,52;7,32;;;29,64;-3,61;0,83;1.389.696.672,00
TFCO4;14,08;0,77;117,44;34,19;21,51;58,03;22,31;17,59;92,59;16,05;0,38;0,14;20,66;44,34;-74,38;3,15;29,11;18,32;25,18;0,63;0,37;1,04;22,58;27,50;1.803.447,67;0,41;0,12;6,68;2.261.606.901,24
TGMA3;26,22;4,46;9,25;2,11;1,48;19,68;14,88;12,15;7,55;7,20;-0,39;-0,11;1,12;4,35;-2,94;3,20;22,82;16,04;17,56;0,70;0,30;1,32;4,80;12,51;8.481.032,43;12,42;2,83;0,22;1.738.516.781,10
TIET11;12,54;;4,38;2,25;0,46;74,66;61,76;49,46;3,51;7,15;3,64;2,34;2,16;1.031,49;-0,52;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;5,57;2,87;0,02;5.004.795.800,93
TIET3;3,49;;6,09;3,13;0,64;74,66;61,76;49,46;4,88;7,15;3,64;2,34;3,01;1.435,37;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIET4;3,51;;6,13;3,15;0,64;74,66;61,76;49,46;4,91;7,15;3,64;2,34;3,03;1.443,59;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIMS3;17,20;5,28;18,16;1,63;0,74;51,02;17,14;9,81;10,39;10,51;0,10;0,02;1,78;-14,45;-0,92;0,79;8,97;4,10;12,16;0,46;0,54;0,42;5,81;13,18;101.492.284,53;10,56;0,95;2,69;41.734.667.821,52
TKNO3;69,63;;7,65;0,73;0,58;21,80;14,53;10,30;5,43;4,01;-1,21;-0,16;0,79;1,53;-1,28;3,23;9,55;7,56;11,32;0,79;0,21;0,73;19,94;;;95,24;9,10;-0,16;197.595.218,63
TKNO4;64,00;4,92;7,04;0,67;0,53;21,80;14,53;10,30;4,99;4,01;-1,21;-0,16;0,72;1,40;-1,18;3,23;9,55;7,56;11,32;0,79;0,21;0,73;19,94;;14.140,00;95,24;9,10;-0,14;197.595.218,63
TOTS3;32,09;1,37;25,90;4,20;2,26;70,36;17,31;18,09;27,07;25,29;-1,84;-0,29;4,68;7,76;-4,04;2,97;16,23;8,73;8,68;0,54;0,43;0,48;11,23;52,41;99.999.292,80;7,64;1,24;0,42;19.854.782.932,77
TOYB3;2,29;;-43,94;-4,97;4,03;24,06;-10,70;-10,96;-45,00;-47,62;-0,63;;4,81;-5,93;-11,89;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,47;71.890.222,22
TOYB4;2,50;;-47,96;-5,43;4,40;24,06;-10,70;-10,96;-49,12;-47,62;-0,63;;5,26;-6,47;-12,98;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,52;71.890.222,22
TPIS3;3,98;;-2,81;0,20;0,06;10,26;-1,06;-6,50;-17,29;-167,25;-149,96;1,77;0,18;-0,46;-0,06;0,27;-7,27;-2,20;-4,18;0,30;0,70;0,34;-5,55;;152.977,50;19,50;-1,42;0,00;175.120.000,00
TRAD3;0,78;;-1,90;0,46;0,43;26,23;-137,01;-203,14;-2,82;-1,47;1,36;-0,22;3,87;1,93;-0,60;4,63;-24,05;-22,54;-18,15;0,94;0,06;0,11;;;679.135,67;1,70;-0,41;-0,02;218.514.767,64
TRIS3;5,00;2,75;8,74;0,70;0,35;24,05;30,15;11,03;3,20;5,84;2,61;0,57;0,96;0,71;-1,40;2,82;8,01;3,96;11,10;0,49;0,49;0,36;11,47;24,98;3.903.424,57;7,14;0,57;0,10;940.552.391,52
TRPL3;37,50;5,88;10,46;1,37;0,70;59,76;62,57;41,02;6,86;7,69;2,00;0,40;4,29;8,91;-0,84;1,90;13,14;6,72;11,65;0,51;0,47;0,16;15,07;11,59;108.398,33;27,28;3,59;-1,23;20.482.157.571,12
TRPL4;26,75;8,24;7,46;0,98;0,50;59,76;62,57;41,02;4,89;7,69;2,00;0,40;3,06;6,35;-0,60;1,90;13,14;6,72;11,65;0,51;0,47;0,16;15,07;11,59;90.741.355,90;27,28;3,59;-0,87;20.482.157.571,12
TRPN3;0,71;;0,44;0,54;0,40;100,00;71,70;59,29;0,37;-0,36;-0,72;-1,07;0,26;0,59;-6,13;3,61;122,35;90,00;90,82;0,74;0,26;1,52;-0,48;-0,38;;1,31;1,60;0,00;32.162.716,00
TTEN3;11,67;0,99;9,28;1,83;0,88;14,89;6,79;7,71;10,54;10,73;0,21;0,04;0,72;3,96;-2,47;1,52;19,74;9,46;9,54;0,48;0,52;1,23;;;17.226.509,97;6,37;1,26;0,43;5.800.184.611,08
TUPY3;26,46;3,80;9,36;1,17;0,38;17,23;6,88;3,59;4,89;7,80;2,88;0,69;0,34;1,19;-0,99;2,10;12,47;4,08;9,94;0,33;0,67;1,13;22,39;21,58;16.421.806,07;22,67;2,83;-0,45;3.836.563.275,00
TXRX3;4,20;;-0,60;-0,05;0,08;19,35;0,21;-18,70;54,21;946,91;905,70;;0,11;-0,09;-0,16;0,32;-8,34;-14,16;-0,47;-1,70;2,70;0,76;20,12;;840,00;-84,48;-7,05;-0,01;13.600.882,86
TXRX4;2,67;;-0,38;-0,03;0,05;19,35;0,21;-18,70;34,46;946,91;905,70;;0,07;-0,05;-0,10;0,32;-8,34;-14,16;-0,47;-1,70;2,70;0,76;20,12;;14.451,90;-84,48;-7,05;-0,01;13.600.882,86
UCAS3;2,70;;13,10;0,91;0,59;34,76;4,03;6,15;20,00;17,72;-2,20;-0,10;0,81;31,77;-0,86;1,06;6,91;4,47;4,06;0,65;0,35;0,73;9,24;;154.451,33;2,98;0,21;-0,21;177.772.319,16
UGPA3;27,16;1,29;14,00;2,38;0,83;6,77;3,25;1,68;7,25;9,11;1,83;0,60;0,24;3,74;-1,65;1,81;17,03;5,94;12,14;0,35;0,64;3,53;12,42;6,56;130.762.748,10;11,39;1,94;0,24;30.389.540.352,50
UNIP3;67,42;4,69;9,03;2,49;1,13;35,74;20,79;13,63;5,92;6,05;-0,22;-0,09;1,23;5,51;-1,97;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;1.081.970,00;27,04;7,47;-0,15;7.426.062.123,66
UNIP5;77,51;4,58;10,38;2,87;1,30;35,74;20,79;13,63;6,81;6,05;-0,22;-0,09;1,42;6,33;-2,27;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;21.630,50;27,04;7,47;-0,18;7.426.062.123,66
UNIP6;73,28;4,75;9,82;2,71;1,23;35,74;20,79;13,63;6,43;6,05;-0,22;-0,09;1,34;5,98;-2,15;1,92;27,61;12,51;15,50;0,45;0,54;0,92;19,21;20,70;12.654.553,13;27,04;7,47;-0,17;7.426.062.123,66
USIM3;7,94;3,76;-27,43;0,42;0,25;8,47;-2,09;-1,27;-16,68;-17,64;-0,58;0,01;0,35;0,74;-0,47;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;6.697.542,43;18,71;-0,29;0,26;10.170.149.909,72
USIM5;8,33;3,95;-28,78;0,45;0,26;8,47;-2,09;-1,27;-17,50;-17,64;-0,58;0,01;0,37;0,78;-0,49;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;83.405.279,37;18,71;-0,29;0,27;10.170.149.909,72
USIM6;16,28;2,02;-56,25;0,87;0,51;8,47;-2,09;-1,27;-34,20;-17,64;-0,58;0,01;0,72;1,52;-0,96;3,43;-1,55;-0,90;-2,06;0,58;0,35;0,71;24,78;;2.839,17;18,71;-0,29;0,52;10.170.149.909,72
VALE3;69,64;8,73;6,65;1,66;0,71;40,12;31,07;23,03;4,93;5,74;0,78;0,26;1,53;61,35;-0,85;1,08;24,99;10,66;21,26;0,43;0,56;0,46;15,85;21,94;1.423.782.562,47;41,90;10,47;-0,12;317.957.480.979,00
VAMO3;9,24;3,64;15,80;2,09;0,53;44,40;34,31;10,72;4,94;9,21;4,23;1,79;1,69;3,59;-0,75;2,03;13,24;3,36;13,27;0,25;0,75;0,31;64,03;51,58;64.603.557,13;4,42;0,58;0,75;10.281.261.737,39
VBBR3;22,16;1,94;12,69;1,90;0,63;4,58;2,47;1,24;6,36;8,74;2,36;0,71;0,16;2,04;-1,38;2,31;15,01;4,97;11,75;0,33;0,67;4,01;16,50;12,07;236.578.752,17;11,64;1,75;6,49;25.932.900.000,00
VITT3;9,13;1,03;12,23;2,11;1,42;37,83;15,21;14,38;11,55;12,74;1,18;0,22;1,76;3,64;-3,81;2,67;17,27;11,65;13,41;0,67;0,33;0,81;;;2.210.807,57;4,32;0,75;-0,49;1.306.038.346,91
VIVA3;35,38;1,03;21,83;4,45;2,76;69,55;21,53;18,65;18,91;19,19;0,15;0,04;4,07;7,22;-6,48;3,01;20,40;12,67;19,88;0,62;0,38;0,68;;;76.218.396,13;7,95;1,62;1,37;8.411.002.554,09
VIVR3;5,35;;-1,23;6,34;0,42;24,20;-125,27;-123,97;-1,22;-1,15;0,05;-0,28;1,53;20,64;-0,80;1,04;-514,44;-33,76;-264,18;0,07;0,93;0,27;83,05;;2.003.035,07;0,84;-4,34;-0,01;125.012.147,04
VIVT3;50,64;4,06;17,18;1,21;0,70;42,85;14,76;9,61;11,19;12,96;1,76;0,19;1,65;-50,95;-0,83;0,92;7,03;4,06;7,74;0,58;0,42;0,42;2,14;1,12;93.961.542,17;41,92;2,95;-1,57;83.769.703.968,40
VIVT4;45,34;;15,38;1,08;0,62;42,85;14,76;9,61;10,02;12,96;1,76;0,19;1,48;-45,62;-0,74;0,92;7,03;4,06;7,74;0,58;0,42;0,42;2,14;1,12;;41,92;2,95;-1,41;83.769.703.968,40
VLID3;20,17;3,22;8,15;1,21;0,62;38,84;19,36;10,32;4,35;5,10;0,74;0,21;0,84;2,45;-1,24;2,00;14,90;7,56;14,76;0,51;0,48;0,73;3,60;48,87;10.766.602,53;16,60;2,47;0,01;1.654.731.502,50
VSPT3;4,99;;-0,32;0,37;0,11;7,78;-44,27;-67,63;-0,49;-1,03;-0,54;0,41;0,22;-2,01;-0,13;0,75;-116,54;-33,96;-62,87;0,29;0,71;0,50;7,49;;;13,44;-15,66;0,00;712.610.842,16
VSPT4;0,00;;0,00;0,00;0,00;7,78;-44,27;-67,63;0,00;-1,03;-0,54;0,41;0,00;0,00;0,00;0,75;-116,54;-33,96;-62,87;0,29;0,71;0,50;7,49;;;13,44;-15,66;0,00;712.610.842,16
VSTE3;18,33;0,63;8,74;2,02;1,23;64,99;19,07;21,51;9,86;11,11;1,24;0,25;1,88;11,68;-1,83;1,48;23,13;14,12;7,46;0,61;0,39;0,66;-3,13;-10,77;807.045,03;9,07;2,10;-0,07;2.079.115.516,92
VULC3;19,55;4,01;8,52;2,42;1,72;40,55;19,67;20,41;8,84;8,92;0,02;0,01;1,74;3,17;-5,74;4,39;28,43;20,16;21,21;0,71;0,29;0,99;14,97;24,47;10.375.961,30;8,07;2,30;0,13;4.842.090.844,36
VVAR11;14,58;;-0,78;0,31;0,04;28,99;-0,55;-5,91;-8,30;-47,46;-41,99;1,58;0,05;-0,29;-0,07;0,74;-40,32;-5,54;-11,42;0,14;0,86;0,94;3,76;;;46,63;-18,80;0,00;913.749.849,91
VVAR4;95,68;;-5,09;2,05;0,28;28,99;-0,55;-5,91;-54,48;-47,46;-41,99;1,58;0,30;-1,92;-0,48;0,74;-40,32;-5,54;-11,42;0,14;0,86;0,94;3,76;;;46,63;-18,80;0,00;913.749.849,91
VVEO3;12,09;;24,11;1,25;0,39;15,90;6,01;1,50;6,01;8,50;2,50;0,52;0,36;1,29;-0,97;2,04;5,17;1,62;9,84;0,31;0,69;1,08;;;18.940.834,70;9,69;0,50;-0,58;3.902.901.150,72
WEGE3;33,46;1,84;28,26;8,71;4,67;31,56;18,80;15,70;23,60;22,96;-0,48;-0,18;4,44;14,60;-15,05;1,86;30,82;16,52;25,44;0,54;0,45;1,05;25,71;34,19;179.566.956,03;3,84;1,18;0,70;139.518.850.253,52
WEST3;1,32;;-2,36;0,54;0,40;42,07;-38,84;-29,31;-1,78;-0,30;1,50;-0,45;0,69;0,94;-1,06;3,16;-22,68;-16,91;-28,18;0,75;0,25;0,58;367,94;;140.021,70;2,46;-0,56;-0,07;147.199.870,02
WHRL3;4,20;5,65;17,72;2,47;0,67;16,27;8,15;3,24;7,04;6,41;-0,71;-0,25;0,57;10,57;-2,33;1,10;13,92;3,75;17,70;0,27;0,73;1,16;12,32;-3,95;47.998,73;1,70;0,24;-0,52;6.387.554.843,44
WHRL4;4,36;8,59;18,39;2,56;0,69;16,27;8,15;3,24;7,31;6,41;-0,71;-0,25;0,60;10,98;-2,42;1,10;13,92;3,75;17,70;0,27;0,73;1,16;12,32;-3,95;140.821,62;1,70;0,24;-0,54;6.387.554.843,44
WIZC3;6,44;6,91;10,59;2,24;0,45;58,84;37,07;9,26;2,65;2,92;0,26;0,22;0,98;-17,68;-0,58;0,90;21,18;4,24;22,73;0,20;0,59;0,46;12,37;-9,41;3.549.068,67;2,87;0,61;-0,28;1.034.600.114,54
WLMM3;22,53;1,77;7,76;1,22;0,99;12,97;7,04;4,99;5,51;5,49;-0,61;-0,14;0,39;2,27;-2,26;4,54;15,77;12,80;15,79;0,81;0,19;2,56;32,16;;6.881,83;18,40;2,90;-1,13;909.122.736,60
